year,sp.code,catch.mt
1979,rvol,365
1980,rvol,779
1981,rvol,270
1982,rvol,133
1983,rvol,130
1984,rvol,191
1985,rvol,727
1986,rvol,884
1987,rvol,711
1988,rvol,775
1989,rvol,950
1990,rvol,674
1991,rvol,563
1992,rvol,836
1993,rvol,1763
1994,rvol,2865
1995,rvol,2541
1996,rvol,2674
1997,rvol,2951
1998,rvol,1992
1999,rvol,3288
2000,rvol,3928
2001,rvol,2827
2002,rvol,2660
2003,rvol,4328
2004,rvol,2687
2005,rvol,2756
2006,rvol,2079
2007,rvol,2195
2008,rvol,2038
2009,rvol,1634
2010,rvol,1538
2011,rvol,1193
2012,rvol,472
2013,rvol,548
2014,rvol,31
2015,rvol,8.1
